user_input,reference_contexts,persona_name,query_style,retrieved_contexts
"Si quiero obtener información sobre un crédito hipotecario para comprar una propiedad y uso a Vivi, ¿cómo debo formularle la consulta?","['# Cómo funciona la inteligencia artificial en CASAVERSO\n\nHemos incorporado inteligencia artificial a través de Vivi, la guIA hipotecaria (¡soy yo!). Estoy preparada para mostrarte casas o departamentos nuevos de acuerdo a tus preferencias. Sólo debes escribir tu búsqueda y elegiré los resultados que puedan gustarte. Mientras más detalles me des, mejor.\n\nPor ejemplo, alguien me pidió hace poco: “Busco departamento en San Miguel con 2 dormitorios, estacionamiento y cerca del Metro”. ¡Y encontré varias propiedades!\n\nTambién puedo responder tus dudas sobre créditos hipotecarios, el proceso de compra de una propiedad, subsidios, entre otros temas relacionados. Estoy en etapa de desarrollo, y mi conocimiento crecerá a nuevos ámbitos.\n']",Micro-Emprendedor (Pyme),"Basado en un escenario ('Si me pasa esto, ¿qué hago?')","['# Financiamiento para Solicitar Crédito Hipotecario Financiamiento hasta 80%. Financiamiento hasta el 90% sólo para adquisición de primera vivienda, nueva o usada y compra con Fondo de Garantía Estatal (FOGAES). Para definir el porcentaje de financiamiento se tomará el menor monto entre el precio de venta y el valor de tasación del bien. Para determinar el valor de propiedades con venta en verde, se tomará el menor valor entre la venta en verde y la tasación estimada del bien', '# Documentos legales para crédito hipotecario', '# Quién emite la solicitud de crédito hipotecario y cuál es su descripción La fuente del documento SOLICITUD DE CREDITO HIPOTECARIO es BancoEstado y es el Formulario proporcionado por el banco para la solicitud del crédito.']"
¿Puedo abrir la cuenta en CASAVERSO sin registrarme usando mi RUT y la clave de Banca en Línea?,"['# Cómo puedo crear una cuenta en CASAVERSO\n\nPara crear una cuenta, anda al menú lateral y marca la opción Iniciar sesión. En esta página puedes registrarte en la plataforma presionando el botón Registrarse en CASAVERSO.\n\nTip: Si eres cliente BancoEstado, puedes abrir tu cuenta sin necesidad de registro. Simplemente ingresa tu RUT y la clave que usas en tu Banca en Línea para entrar a tu cuenta.\n']",Cliente CuentaRUT,Directo (Pregunta corta y precisa),"['# Cómo puedo crear una cuenta en CASAVERSO Para crear una cuenta, anda al menú lateral y marca la opción Iniciar sesión. En esta página puedes registrarte en la plataforma presionando el botón Registrarse en CASAVERSO. Tip: Si eres cliente BancoEstado, puedes abrir tu cuenta sin necesidad de registro. Simplemente ingresa tu RUT y la clave que usas en tu Banca en Línea para entrar a tu cuenta.', '# Si soy cliente del BancoEstado, ¿puedo ingresar con mis credenciales del banco? Sí, puedes ingresar a tu cuenta en CASAVERSO con tu RUT y clave internet con la que ingresas habitualmente a tu Banca en Línea.', '# Es seguro compartir mi información personal en CASAVERSO Como en todos los portales de BancoEstado, la seguridad es una de nuestras principales preocupaciones. Puedes revisar el enlace Políticas de privacidad en el pie de página para informarte de todo lo relacionado a tratamiento de datos personales y uso de datos de navegación (cookies).']"
¿Para qué sirve el nuevo portal CASAVERSO?,"['# El Nuevo Portal CASAVERSO es de BancoEstado\n\nSí, este nuevo portal ha sido desarrollado por BancoEstado considerando las necesidades de los clientes, las condiciones actuales y futuras del mercado inmobiliario y las nuevas tecnologías emergentes a nivel mundial.\n']",Cliente CuentaRUT,Directo (Pregunta corta y precisa),"['# El Nuevo Portal CASAVERSO es de BancoEstado Sí, este nuevo portal ha sido desarrollado por BancoEstado considerando las necesidades de los clientes, las condiciones actuales y futuras del mercado inmobiliario y las nuevas tecnologías emergentes a nivel mundial.', '# El Nuevo Portal CASAVERSO es seguro El nuevo portal cumple con todas las condiciones y exigencias que nos rigen como instituciones financieras en materia de seguridad informática y uso de datos personales.', '# Qué es CASAVERSO CASAVERSO es el ecosistema de vivienda y construcción de BancoEstado. Es una plataforma digital donde todos los mundos que hoy están dispersos -asesoría, financiamiento, inmobiliarias, corredores, notarías y trámites- se reúnen en un mismo lugar. CASAVERSO: el universo completo de la vivienda, en un solo lugar.']"
¿El portal CASAVERSO es seguro para mis datos personales?,['# El Nuevo Portal CASAVERSO es seguro\n\nEl nuevo portal cumple con todas las condiciones y exigencias que nos rigen como instituciones financieras en materia de seguridad informática y uso de datos personales.\n'],Pensionado / Adulto Mayor,Directo (Pregunta corta y precisa),"['# Es seguro compartir mi información personal en CASAVERSO Como en todos los portales de BancoEstado, la seguridad es una de nuestras principales preocupaciones. Puedes revisar el enlace Políticas de privacidad en el pie de página para informarte de todo lo relacionado a tratamiento de datos personales y uso de datos de navegación (cookies).', '# El Nuevo Portal CASAVERSO es seguro El nuevo portal cumple con todas las condiciones y exigencias que nos rigen como instituciones financieras en materia de seguridad informática y uso de datos personales.', '# El Nuevo Portal CASAVERSO es de BancoEstado Sí, este nuevo portal ha sido desarrollado por BancoEstado considerando las necesidades de los clientes, las condiciones actuales y futuras del mercado inmobiliario y las nuevas tecnologías emergentes a nivel mundial.']"
"Si al usar CASAVERSO me solicitan mis datos personales y quiero confirmar que es seguro compartirlos, ¿qué hago?","['# Es seguro compartir mi información personal en CASAVERSO\n\nComo en todos los portales de BancoEstado, la seguridad es una de nuestras principales preocupaciones. Puedes revisar el enlace Políticas de privacidad en el pie de página para informarte de todo lo relacionado a tratamiento de datos personales y uso de datos de navegación (cookies).\n']",Micro-Emprendedor (Pyme),"Basado en un escenario ('Si me pasa esto, ¿qué hago?')","['# Es seguro compartir mi información personal en CASAVERSO Como en todos los portales de BancoEstado, la seguridad es una de nuestras principales preocupaciones. Puedes revisar el enlace Políticas de privacidad en el pie de página para informarte de todo lo relacionado a tratamiento de datos personales y uso de datos de navegación (cookies).', '# El Nuevo Portal CASAVERSO es seguro El nuevo portal cumple con todas las condiciones y exigencias que nos rigen como instituciones financieras en materia de seguridad informática y uso de datos personales.', '# Qué beneficios pueden identificar las personas al utilizar el Portal de CASAVERSO A las personas que navegan les genera: Certeza en el proceso de evaluación, dándoles la seguridad de saber, de forma inmediata, que son sujetos de crédito hipotecario, a través de una preaprobación en línea, Una experiencia y asesoría en el proceso de navegación en la plataforma, al estar acompañado de una GuÍA mediante Vivi, una IA experta que lo acompañará en todo el proceso y lo ayudará a disminuir las dudas en torno al proceso de compra. Personalizar el proceso de búsqueda proponiéndole alternativas de viviendas acordes a las necesidades de cada persona.']"
"Si quiero arrendar una propiedad y ahora solo aparecen en venta, ¿qué debo hacer mientras publican las de arriendo?","['# Hay propiedades para arriendo\n\nEn este momento sólo hay propiedades que están a la venta, pero en un futuro cercano publicaremos propiedades disponibles para arriendo.\n']",Pensionado / Adulto Mayor,"Basado en un escenario ('Si me pasa esto, ¿qué hago?')","['# Hay propiedades para arriendo En este momento sólo hay propiedades que están a la venta, pero en un futuro cercano publicaremos propiedades disponibles para arriendo.', 'Si eres Rentista: Contrato de arriendo de bienes raíces suscrito a tu nombre, debidamente notariado con antigüedad mínima de 1 año o con un anexo de contrato notariado, que acredite la vigencia del arriendo (en caso de estar suscrito por un tercero, debe indicar que se arrienda en representación de su dueño). Certificado de Dominio Vigente de las propiedades sujetas a contrato de arriendo o usufructo debidamente acreditado (si la propiedad arrendada se encuentra en garantía a favor de BancoEstado, se podrá validar internamente, sin exigir este certificado). Comprobante de transferencia electrónica o cartola de cuenta bancaria, con el monto del arriendo últimos 6 meses (El pago del arriendo debe ser mensual).', 'Si eres Jubilado o Pensionado, debes presentar la última liquidación de jubilación o pensión. Si eres Rentista, debes presentar contratos de arriendo notariados de las propiedades, con antigüedad mínima de 1 año, certificados de dominio vigente de las propiedades y los comprobantes de transferencia electrónica o cartola de cuenta bancaria, con el monto del arriendo últimos 6 meses. Si eres Socio de Empresa o persona natural con giro comercial, debes presentar de los últimos 2 años: Declaraciones de Impuestos Anual a la Renta Personal.']"
¿Es mejor invertir ahora en propiedades nuevas de CASAVERSO o esperar a que publiquen propiedades usadas?,"['# Hay propiedades usadas\n\nEn este momento sólo hay propiedades nuevas (proyectos) en CASAVERSO, pero próximamente nos ampliaremos a la publicación de propiedades usadas.\n']",Micro-Emprendedor (Pyme),Comparativo ('¿Es mejor esto o aquello?'),"['# Hay propiedades usadas En este momento sólo hay propiedades nuevas (proyectos) en CASAVERSO, pero próximamente nos ampliaremos a la publicación de propiedades usadas.', '# Qué es CASAVERSO CASAVERSO es el ecosistema de vivienda y construcción de BancoEstado. Es una plataforma digital donde todos los mundos que hoy están dispersos -asesoría, financiamiento, inmobiliarias, corredores, notarías y trámites- se reúnen en un mismo lugar. CASAVERSO: el universo completo de la vivienda, en un solo lugar.', '# El Nuevo Portal CASAVERSO es de BancoEstado Sí, este nuevo portal ha sido desarrollado por BancoEstado considerando las necesidades de los clientes, las condiciones actuales y futuras del mercado inmobiliario y las nuevas tecnologías emergentes a nivel mundial.']"
¿Es necesario registrar mis credenciales del sitio web para avanzar en la preaprobación?,"['# Para avanzar a la preaprobación me solicita registrar las credenciales BancoEstado del sitio web ¿esto es correcto?\n\nSi, considerando que esta es una plataforma BancoEstado, para reconocer la identidad del usuario y acceder a servicios BancoEstado, se deben ingresar las credenciales de la web para avanzar en la Preaprobación.\n']",Cliente CuentaRUT,Directo (Pregunta corta y precisa),"['# Para avanzar a la preaprobación me solicita registrar las credenciales BancoEstado del sitio web ¿esto es correcto? Si, considerando que esta es una plataforma BancoEstado, para reconocer la identidad del usuario y acceder a servicios BancoEstado, se deben ingresar las credenciales de la web para avanzar en la Preaprobación.', '# Qué funcionalidades puedo acceder al registrar mis credenciales BancoEstado Una vez ingresaste con credenciales BancoEstado podrás visualizar si cuentas con una oferta hipotecaria disponible y/o solicitar una preaprobación en línea.', '# Si soy cliente del BancoEstado, ¿puedo ingresar con mis credenciales del banco? Sí, puedes ingresar a tu cuenta en CASAVERSO con tu RUT y clave internet con la que ingresas habitualmente a tu Banca en Línea.']"
"Si quiero saber de inmediato si soy sujeto de crédito hipotecario para adquirir un local comercial, ¿cómo funciona la preaprobación en línea del portal de Casaverso?","['# Qué beneficios pueden identificar las personas al utilizar el Portal de CASAVERSO\n\nA las personas que navegan les genera:\n\nCerteza en el proceso de evaluación, dándoles la seguridad de saber, de forma inmediata, que son sujetos de crédito hipotecario, a través de una preaprobación en línea,\n\nUna experiencia y asesoría en el proceso de navegación en la plataforma, al estar acompañado de una GuÍA mediante Vivi, una IA experta que lo acompañará en todo el proceso y lo ayudará a disminuir las dudas en torno al proceso de compra.\n\nPersonalizar el proceso de búsqueda proponiéndole alternativas de viviendas acordes a las necesidades de cada persona.\n']",Micro-Emprendedor (Pyme),"Basado en un escenario ('Si me pasa esto, ¿qué hago?')","['# Qué pasa cuando envío una solicitud de aprobación de crédito hipotecario SI cuentas con una Oferta Preaprobada o se generó una preaprobación en línea y, navegaste desde una propiedad disponible en el Portal con entrega inmediata, se derivará tu solicitud a un ejecutivo de BancoEstado a cargo del proyecto en el cual estas interesado y, a la inmobiliaria del proyecto para que te contacten y avanzar en el proceso.', '# CRÉDITO PREAPROBADO Es una oferta de crédito a un consumidor cuyo riesgo ha sido previamente evaluado, con ciertas condiciones y plazos, donde el consumidor puede aceptar o rechazar el crédito. Requiere que el consumidor acepte formalmente el producto frente a la empresa.', '# Qué beneficios pueden identificar las personas al utilizar el Portal de CASAVERSO A las personas que navegan les genera: Certeza en el proceso de evaluación, dándoles la seguridad de saber, de forma inmediata, que son sujetos de crédito hipotecario, a través de una preaprobación en línea, Una experiencia y asesoría en el proceso de navegación en la plataforma, al estar acompañado de una GuÍA mediante Vivi, una IA experta que lo acompañará en todo el proceso y lo ayudará a disminuir las dudas en torno al proceso de compra. Personalizar el proceso de búsqueda proponiéndole alternativas de viviendas acordes a las necesidades de cada persona.']"
"Si quiero financiar la ampliación de mi negocio y veo que CASAVERSO reúne asesoría y financiamiento de vivienda y construcción, ¿cómo accedo a esos servicios a través de la plataforma?","['# Qué es CASAVERSO\n\nCASAVERSO es el ecosistema de vivienda y construcción de BancoEstado.\n\nEs una plataforma digital donde todos los mundos que hoy están dispersos -asesoría, financiamiento, inmobiliarias, corredores, notarías y trámites- se reúnen en un mismo lugar.\n\nCASAVERSO: el universo completo de la vivienda, en un solo lugar.\n']",Micro-Emprendedor (Pyme),"Basado en un escenario ('Si me pasa esto, ¿qué hago?')","['# Qué es CASAVERSO CASAVERSO es el ecosistema de vivienda y construcción de BancoEstado. Es una plataforma digital donde todos los mundos que hoy están dispersos -asesoría, financiamiento, inmobiliarias, corredores, notarías y trámites- se reúnen en un mismo lugar. CASAVERSO: el universo completo de la vivienda, en un solo lugar.', '# El Nuevo Portal CASAVERSO es de BancoEstado Sí, este nuevo portal ha sido desarrollado por BancoEstado considerando las necesidades de los clientes, las condiciones actuales y futuras del mercado inmobiliario y las nuevas tecnologías emergentes a nivel mundial.', '# Qué beneficios pueden identificar las personas al utilizar el Portal de CASAVERSO A las personas que navegan les genera: Certeza en el proceso de evaluación, dándoles la seguridad de saber, de forma inmediata, que son sujetos de crédito hipotecario, a través de una preaprobación en línea, Una experiencia y asesoría en el proceso de navegación en la plataforma, al estar acompañado de una GuÍA mediante Vivi, una IA experta que lo acompañará en todo el proceso y lo ayudará a disminuir las dudas en torno al proceso de compra. Personalizar el proceso de búsqueda proponiéndole alternativas de viviendas acordes a las necesidades de cada persona.']"
