user_input,reference_contexts,persona_name,query_style
"Si quiero obtener información sobre un crédito hipotecario para comprar una propiedad y uso a Vivi, ¿cómo debo formularle la consulta?","['# Cómo funciona la inteligencia artificial en CASAVERSO\n\nHemos incorporado inteligencia artificial a través de Vivi, la guIA hipotecaria (¡soy yo!). Estoy preparada para mostrarte casas o departamentos nuevos de acuerdo a tus preferencias. Sólo debes escribir tu búsqueda y elegiré los resultados que puedan gustarte. Mientras más detalles me des, mejor.\n\nPor ejemplo, alguien me pidió hace poco: “Busco departamento en San Miguel con 2 dormitorios, estacionamiento y cerca del Metro”. ¡Y encontré varias propiedades!\n\nTambién puedo responder tus dudas sobre créditos hipotecarios, el proceso de compra de una propiedad, subsidios, entre otros temas relacionados. Estoy en etapa de desarrollo, y mi conocimiento crecerá a nuevos ámbitos.\n']",Micro-Emprendedor (Pyme),"Basado en un escenario ('Si me pasa esto, ¿qué hago?')"
¿Puedo abrir la cuenta en CASAVERSO sin registrarme usando mi RUT y la clave de Banca en Línea?,"['# Cómo puedo crear una cuenta en CASAVERSO\n\nPara crear una cuenta, anda al menú lateral y marca la opción Iniciar sesión. En esta página puedes registrarte en la plataforma presionando el botón Registrarse en CASAVERSO.\n\nTip: Si eres cliente BancoEstado, puedes abrir tu cuenta sin necesidad de registro. Simplemente ingresa tu RUT y la clave que usas en tu Banca en Línea para entrar a tu cuenta.\n']",Cliente CuentaRUT,Directo (Pregunta corta y precisa)
¿Para qué sirve el nuevo portal CASAVERSO?,"['# El Nuevo Portal CASAVERSO es de BancoEstado\n\nSí, este nuevo portal ha sido desarrollado por BancoEstado considerando las necesidades de los clientes, las condiciones actuales y futuras del mercado inmobiliario y las nuevas tecnologías emergentes a nivel mundial.\n']",Cliente CuentaRUT,Directo (Pregunta corta y precisa)
¿El portal CASAVERSO es seguro para mis datos personales?,['# El Nuevo Portal CASAVERSO es seguro\n\nEl nuevo portal cumple con todas las condiciones y exigencias que nos rigen como instituciones financieras en materia de seguridad informática y uso de datos personales.\n'],Pensionado / Adulto Mayor,Directo (Pregunta corta y precisa)
"Si al usar CASAVERSO me solicitan mis datos personales y quiero confirmar que es seguro compartirlos, ¿qué hago?","['# Es seguro compartir mi información personal en CASAVERSO\n\nComo en todos los portales de BancoEstado, la seguridad es una de nuestras principales preocupaciones. Puedes revisar el enlace Políticas de privacidad en el pie de página para informarte de todo lo relacionado a tratamiento de datos personales y uso de datos de navegación (cookies).\n']",Micro-Emprendedor (Pyme),"Basado en un escenario ('Si me pasa esto, ¿qué hago?')"
"Si quiero arrendar una propiedad y ahora solo aparecen en venta, ¿qué debo hacer mientras publican las de arriendo?","['# Hay propiedades para arriendo\n\nEn este momento sólo hay propiedades que están a la venta, pero en un futuro cercano publicaremos propiedades disponibles para arriendo.\n']",Pensionado / Adulto Mayor,"Basado en un escenario ('Si me pasa esto, ¿qué hago?')"
¿Es mejor invertir ahora en propiedades nuevas de CASAVERSO o esperar a que publiquen propiedades usadas?,"['# Hay propiedades usadas\n\nEn este momento sólo hay propiedades nuevas (proyectos) en CASAVERSO, pero próximamente nos ampliaremos a la publicación de propiedades usadas.\n']",Micro-Emprendedor (Pyme),Comparativo ('¿Es mejor esto o aquello?')
¿Es necesario registrar mis credenciales del sitio web para avanzar en la preaprobación?,"['# Para avanzar a la preaprobación me solicita registrar las credenciales BancoEstado del sitio web ¿esto es correcto?\n\nSi, considerando que esta es una plataforma BancoEstado, para reconocer la identidad del usuario y acceder a servicios BancoEstado, se deben ingresar las credenciales de la web para avanzar en la Preaprobación.\n']",Cliente CuentaRUT,Directo (Pregunta corta y precisa)
"Si quiero saber de inmediato si soy sujeto de crédito hipotecario para adquirir un local comercial, ¿cómo funciona la preaprobación en línea del portal de Casaverso?","['# Qué beneficios pueden identificar las personas al utilizar el Portal de CASAVERSO\n\nA las personas que navegan les genera:\n\nCerteza en el proceso de evaluación, dándoles la seguridad de saber, de forma inmediata, que son sujetos de crédito hipotecario, a través de una preaprobación en línea,\n\nUna experiencia y asesoría en el proceso de navegación en la plataforma, al estar acompañado de una GuÍA mediante Vivi, una IA experta que lo acompañará en todo el proceso y lo ayudará a disminuir las dudas en torno al proceso de compra.\n\nPersonalizar el proceso de búsqueda proponiéndole alternativas de viviendas acordes a las necesidades de cada persona.\n']",Micro-Emprendedor (Pyme),"Basado en un escenario ('Si me pasa esto, ¿qué hago?')"
"Si quiero financiar la ampliación de mi negocio y veo que CASAVERSO reúne asesoría y financiamiento de vivienda y construcción, ¿cómo accedo a esos servicios a través de la plataforma?","['# Qué es CASAVERSO\n\nCASAVERSO es el ecosistema de vivienda y construcción de BancoEstado.\n\nEs una plataforma digital donde todos los mundos que hoy están dispersos -asesoría, financiamiento, inmobiliarias, corredores, notarías y trámites- se reúnen en un mismo lugar.\n\nCASAVERSO: el universo completo de la vivienda, en un solo lugar.\n']",Micro-Emprendedor (Pyme),"Basado en un escenario ('Si me pasa esto, ¿qué hago?')"
